Area name,Area prefix
Abkhazia,7840
Abkhazia-Mobile,7940
"Abkhazia-Mobile, A-Mobile",79407
"Abkhazia-Mobile, Aquafon",79409
Abkhazia-Sukhumi,7840222
Abkhazia-Sukhumi,7840223
Abkhazia-Sukhumi,7840224
Abkhazia-Sukhumi,7840229
Afghanistan,93
Afghanistan-Herat,9340
Afghanistan-Jalalabad,9360
Afghanistan-Kabul,9320
Afghanistan-Kandahar,9330
Afghanistan-Mobile Areeba/MTN,9376
Afghanistan-Mobile Areeba/MTN,9377
"Afghanistan-Mobile, AWCC",9370
"Afghanistan-Mobile, AWCC",9371
"Afghanistan-Mobile, CDMA",9375
"Afghanistan-Mobile, Etisalat",9378
"Afghanistan-Mobile, Others",937
"Afghanistan-Mobile, Roshan",9372
"Afghanistan-Mobile, Roshan_1",9379
"Afghanistan-Mobile, Salaam",9374
"Afghanistan-Mobile, Wasel",93750
Albania,355
"Albania, Special Services",355424939
"Albania, Special Services",35542517
"Albania, Special Services",355450000
"Albania, Special Services",355450100
"Albania, Special Services",355450190
"Albania, Special Services",355450200
"Albania, Special Services",355450331
"Albania, Special Services",355450333
"Albania, Special Services",35547285
"Albania, Special Services",35552670
"Albania, Special Services",355652556
"Albania, Special Services",35586930563
Albania-AMC,35521160
Albania-AMC,35521161
Albania-AMC,35521250
Albania-AMC,35521340
Albania-AMC,35521440
Albania-AMC,3552155
Albania-AMC,35521650
Albania-AMC,35521651
Albania-AMC,35521740
Albania-AMC,35521741
Albania-AMC,3552185
Albania-AMC,35521940
Albania-AMC,3552253
Albania-AMC,3552254
Albania-AMC,3552440
Albania-AMC,35526160
Albania-AMC,35526250
Albania-AMC,35526293
Albania-AMC,35526323
Albania-AMC,35526350
Albania-AMC,35526363
Albania-AMC,35526373
Albania-AMC,35526383
Albania-AMC,35526450
Albania-AMC,35526490
Albania-AMC,35526523
Albania-AMC,35526563
Albania-AMC,35526650
Albania-AMC,35526673
Albania-AMC,35526723
Albania-AMC,35526770
Albania-AMC,35526840
Albania-AMC,35526890
Albania-AMC,35526950
Albania-AMC,35526970
Albania-AMC,35526990
Albania-AMC,35527023
Albania-AMC,35527043
Albania-AMC,35527053
Albania-AMC,35527070
Albania-AMC,35527140
Albania-AMC,35527190
Albania-AMC,35527223
Albania-AMC,35527253
Albania-AMC,35527270
Albania-AMC,35527280
Albania-AMC,35527323
Albania-AMC,35527350
Albania-AMC,35527370
Albania-AMC,35527390
Albania-AMC,35527440
Albania-AMC,35527470
Albania-AMC,35527490
Albania-AMC,35527523
Albania-AMC,35527550
Albania-AMC,35527570
Albania-AMC,35527590
Albania-AMC,35527623
Albania-AMC,35527660
Albania-AMC,35527693
Albania-AMC,35527723
Albania-AMC,35527760
Albania-AMC,35527790
Albania-AMC,35527840
Albania-AMC,35527860
Albania-AMC,35527880
Albania-AMC,35527923
Albania-AMC,35527950
Albania-AMC,35527970
Albania-AMC,35527990
Albania-AMC,35528123
Albania-AMC,35528124
Albania-AMC,35528143
Albania-AMC,35528144
Albania-AMC,35528190
Albania-AMC,35528223
Albania-AMC,35528250
Albania-AMC,35528270
Albania-AMC,35528290
Albania-AMC,35528323
Albania-AMC,35528350
Albania-AMC,35528390
Albania-AMC,35528450
Albania-AMC,35528523
Albania-AMC,35528570
Albania-AMC,35528623
Albania-AMC,35528643
Albania-AMC,35528680
Albania-AMC,35528763
Albania-AMC,35528790
Albania-AMC,35528823
Albania-AMC,35528850
Albania-AMC,35528870
Albania-AMC,35528890
Albania-AMC,35528923
Albania-AMC,35528950
Albania-AMC,35528970
Albania-AMC,35528990
Albania-AMC,35529140
Albania-AMC,35529190
Albania-AMC,35529240
Albania-AMC,35529280
Albania-AMC,35529340
Albania-AMC,35529370
Albania-AMC,35529390
Albania-AMC,35529423
Albania-AMC,35529460
Albania-AMC,35529490
Albania-AMC,35529523
Albania-AMC,35529550
Albania-AMC,35529570
