country,operator,prefix
Abkhazia,Abkhazia,7840
Abkhazia,Mobile,7940
Abkhazia,Mobile,79407
Abkhazia,Aquafon,79409
Abkhazia,Sukhumi,7840222
Abkhazia,Sukhumi,7840223
Abkhazia,Sukhumi,7840224
Abkhazia,Sukhumi,7840229
Afghanistan,Afghanistan,93
Afghanistan,Herat,9340
Afghanistan,Jalalabad,9360
Afghanistan,Kabul,9320
Afghanistan,Kandahar,9330
Afghanistan,Mobile Areeba/MTN,9376
Afghanistan,Mobile Areeba/MTN,9377
Afghanistan,AWCC,9370
Afghanistan,AWCC,9371
Afghanistan,CDMA,9375
Afghanistan,Etisalat,9378
Afghanistan,Others,937
Afghanistan,Roshan,9372
Afghanistan,Roshan_1,9379
Afghanistan,Salaam,9374
Afghanistan,Wasel,93750
Albania,Albania,355
Albania,Special Services,355424939
Albania,Special Services,35542517
Albania,Special Services,355450000
Albania,Special Services,355450100
Albania,Special Services,355450190
Albania,Special Services,355450200
Albania,Special Services,355450331
Albania,Special Services,355450333
Albania,Special Services,35547285
Albania,Special Services,35552670
Albania,Special Services,355652556
Albania,Special Services,35586930563
Albania,AMC,35521160
Albania,AMC,35521161
Albania,AMC,35521250
Albania,AMC,35521340
Albania,AMC,35521440
Albania,AMC,3552155
Albania,AMC,35521650
Albania,AMC,35521651
Albania,AMC,35521740
Albania,AMC,35521741
Albania,AMC,3552185
Albania,AMC,35521940
Albania,AMC,3552253
Albania,AMC,3552254
Albania,AMC,3552440
Albania,AMC,35526160
Albania,AMC,35526250
Albania,AMC,35526293
Albania,AMC,35526323
Albania,AMC,35526350
Albania,AMC,35526363
Albania,AMC,35526373
Albania,AMC,35526383
Albania,AMC,35526450
Albania,AMC,35526490
Albania,AMC,35526523
Albania,AMC,35526563
Albania,AMC,35526650
Albania,AMC,35526673
Albania,AMC,35526723
Albania,AMC,35526770
Albania,AMC,35526840
Albania,AMC,35526890
Albania,AMC,35526950
Albania,AMC,35526970
Albania,AMC,35526990
Albania,AMC,35527023
Albania,AMC,35527043
Albania,AMC,35527053
Albania,AMC,35527070
Albania,AMC,35527140
Albania,AMC,35527190
Albania,AMC,35527223
Albania,AMC,35527253
Albania,AMC,35527270
Albania,AMC,35527280
Albania,AMC,35527323
Albania,AMC,35527350
Albania,AMC,35527370
Albania,AMC,35527390
Albania,AMC,35527440
Albania,AMC,35527470
Albania,AMC,35527490
Albania,AMC,35527523
Albania,AMC,35527550
Albania,AMC,35527570
Albania,AMC,35527590
Albania,AMC,35527623
Albania,AMC,35527660
Albania,AMC,35527693
Albania,AMC,35527723
Albania,AMC,35527760
Albania,AMC,35527790
Albania,AMC,35527840
Albania,AMC,35527860
Albania,AMC,35527880
Albania,AMC,35527923
Albania,AMC,35527950
Albania,AMC,35527970
Albania,AMC,35527990
Albania,AMC,35528123
Albania,AMC,35528124
Albania,AMC,35528143
Albania,AMC,35528144
Albania,AMC,35528190
Albania,AMC,35528223
Albania,AMC,35528250
Albania,AMC,35528270
Albania,AMC,35528290
Albania,AMC,35528323
Albania,AMC,35528350
Albania,AMC,35528390
Albania,AMC,35528450
Albania,AMC,35528523
Albania,AMC,35528570
Albania,AMC,35528623
Albania,AMC,35528643
Albania,AMC,35528680
Albania,AMC,35528763
Albania,AMC,35528790
Albania,AMC,35528823
Albania,AMC,35528850
Albania,AMC,35528870
Albania,AMC,35528890
Albania,AMC,35528923
Albania,AMC,35528950
Albania,AMC,35528970
Albania,AMC,35528990
Albania,AMC,35529140
Albania,AMC,35529190
Albania,AMC,35529240
Albania,AMC,35529280
Albania,AMC,35529340
Albania,AMC,35529370
Albania,AMC,35529390
Albania,AMC,35529423
Albania,AMC,35529460
Albania,AMC,35529490
Albania,AMC,35529523
Albania,AMC,35529550
Albania,AMC,35529570
Albania,AMC,35529590
Albania,AMC,35529623
Albania,AMC,35529650
Albania,AMC,35529680
Albania,AMC,35529723
Albania,AMC,35529750
Albania,AMC,35529763
Albania,AMC,35529780
Albania,AMC,35531150
Albania,AMC,35531151
Albania,AMC,35531250
Albania,AMC,35531350
Albania,AMC,35531351
Albania,AMC,3553270
Albania,AMC,3553350
Albania,AMC,3553351
Albania,AMC,3553490
Albania,AMC,3553491
Albania,AMC,3553560
Albania,AMC,35536023
Albania,AMC,35536043
Albania,AMC,35536063
Albania,AMC,35536073
Albania,AMC,35536090
Albania,AMC,35536150
Albania,AMC,35536240
Albania,AMC,35536290
Albania,AMC,35536340
Albania,AMC,35536380
Albania,AMC,35536440
Albania,AMC,35536480
Albania,AMC,35536540
Albania,AMC,35536580
Albania,AMC,35536640
Albania,AMC,35536670
Albania,AMC,35536740
Albania,AMC,35536770
Albania,AMC,35536840
Albania,AMC,35536890
Albania,AMC,35536923
Albania,AMC,35536993
Albania,AMC,35537140
Albania,AMC,35537141
Albania,AMC,35537223
Albania,AMC,35537263
Albania,AMC,35537283
Albania,AMC,35537293
Albania,AMC,35537340
Albania,AMC,35537370
Albania,AMC,35537393
Albania,AMC,35537450
Albania,AMC,35537490
Albania,AMC,35537494
Albania,AMC,35537523
Albania,AMC,35537563
Albania,AMC,35537590
Albania,AMC,35537623
Albania,AMC,35537680
Albania,AMC,35537740
Albania,AMC,35537773
Albania,AMC,35537790
Albania,AMC,35537823
Albania,AMC,35537843
Albania,AMC,35537853
Albania,AMC,35537870
Albania,AMC,35537890
Albania,AMC,35538150
Albania,AMC,35538151
Albania,AMC,35538152
Albania,AMC,35538240
Albania,AMC,35538241
Albania,AMC,35538350
Albania,AMC,35538423
Albania,AMC,35538470
Albania,AMC,35538523
Albania,AMC,35538593
Albania,AMC,35538623
Albania,AMC,35538650
Albania,AMC,35538680
Albania,AMC,35538693
Albania,AMC,35538725
Albania,AMC,35538790
Albania,AMC,35538850
Albania,AMC,35538923
Albania,AMC,35538940
Albania,AMC,35538980
Albania,AMC,35539150
Albania,AMC,35539151
Albania,AMC,35539240
Albania,AMC,35539241
Albania,AMC,35539360
Albania,AMC,35539361
Albania,AMC,35539450
Albania,AMC,35539560
Albania,AMC,35539640
Albania,AMC,35539690
Albania,AMC,35539740
Albania,AMC,35539790
Albania,AMC,35539823
Albania,AMC,35539850
Albania,AMC,35539880
Albania,AMC,3554630
Albania,AMC,3554631
Albania,AMC,3554632
Albania,AMC,3554633
Albania,AMC,35547210
Albania,AMC,35547425
Albania,AMC,35547550
Albania,AMC,35547700
Albania,AMC,35547870
Albania,AMC,35547950
Albania,AMC,35548270
Albania,AMC,35548271
Albania,AMC,35548272
Albania,AMC,35548570
Albania,AMC,35548660
Albania,AMC,35548750
Albania,AMC,35548855
Albania,AMC,35548935
Albania,AMC,35548936
Albania,AMC,35549250
Albania,AMC,35549440
Albania,AMC,35549560
Albania,AMC,35549730
Albania,AMC,35549830
Albania,AMC,35549930
Albania,AMC,3555114
Albania,AMC,35551240
Albania,AMC,35551241
Albania,AMC,35551360
Albania,AMC,35551361
Albania,AMC,35551460
Albania,AMC,35551461
Albania,AMC,3555263
Albania,AMC,3555264
Albania,AMC,3555370
Albania,AMC,3555490
Albania,AMC,3555491
Albania,AMC,3555540
Albania,AMC,35556150
Albania,AMC,35556240
Albania,AMC,35556293
Albania,AMC,35556340
Albania,AMC,35556445
Albania,AMC,35556465
Albania,AMC,35556550
Albania,AMC,35556583
Albania,AMC,35557043
Albania,AMC,35557070
Albania,AMC,35557094
Albania,AMC,35557180
Albania,AMC,35557260
Albania,AMC,35557390
Albania,AMC,35557463
Albania,AMC,35557464
Albania,AMC,35557494
Albania,AMC,35557543
Albania,AMC,35557544
Albania,AMC,35557584
Albania,AMC,35557643
Albania,AMC,35557644
Albania,AMC,35557683
Albania,AMC,35557770
Albania,AMC,35557771
Albania,AMC,35557843
Albania,AMC,35557865
Albania,AMC,35557943
Albania,AMC,35557963
Albania,AMC,35557993
Albania,AMC,35558023
Albania,AMC,35558073
Albania,AMC,35558150
Albania,AMC,35558151
Albania,AMC,35558250
Albania,AMC,35558323
