country,operator,prefix
Abkhazia,Abkhazia,7840
Abkhazia,Mobile,7940
Abkhazia,Mobile,79407
Abkhazia,Aquafon,79409
Abkhazia,Sukhumi,7840222
Abkhazia,Sukhumi,7840223
Abkhazia,Sukhumi,7840224
Abkhazia,Sukhumi,7840229
Afghanistan,Afghanistan,93
Afghanistan,Herat,9340
Afghanistan,Jalalabad,9360
Afghanistan,Kabul,9320
Afghanistan,Kandahar,9330
Afghanistan,Mobile Areeba/MTN,9376
Afghanistan,Mobile Areeba/MTN,9377
Afghanistan,AWCC,9370
Afghanistan,AWCC,9371
Afghanistan,CDMA,9375
Afghanistan,Etisalat,9378
Afghanistan,Others,937
Afghanistan,Roshan,9372
Afghanistan,Salaam,9374
Afghanistan,Wasel,93750
Albania,Albania,355
Albania,Special Services,355424939
Albania,Special Services,35542517
Albania,Special Services,355450000
Albania,Special Services,355450100
Albania,Special Services,355450190
Albania,Special Services,355450200
Albania,Special Services,355450331
Albania,Special Services,355450333
Albania,Special Services,35547285
Albania,Special Services,35552670
Albania,Special Services,355652556
Albania,Special Services,35586930563
